ID,Ring2,Ring3,Ring4,Ring5,Ring6,Ring7,Ring8,Ring9,Ring10,Ring11
Sub00271,0.667919065,0.654231301,0.664176029,0.660256803,0.654628585,0.641639269,0.626708308,0.618459878,0.626711203,0.6477689
Sub00272,0.654087203,0.634082212,0.644478932,0.656628362,0.664977594,0.654068739,0.640483696,0.630019422,0.636801763,0.650504874
Sub00273,0.669863295,0.651356562,0.654904882,0.668778111,0.677379023,0.673939624,0.66030268,0.644189544,0.64704297,0.658773513
Sub00274,0.669584966,0.647005594,0.644282908,0.649977697,0.659731771,0.650116923,0.636385846,0.625129859,0.639711222,0.646052845
Sub00275,0.630115955,0.612602107,0.611329186,0.619400373,0.627204105,0.614041082,0.593634356,0.584555931,0.591802265,0.599356342
Sub00276,0.70557314,0.691501177,0.688949328,0.68452279,0.679162759,0.664929047,0.658117968,0.651730497,0.660638015,0.666616978
Sub00277,0.622639347,0.602222569,0.606749654,0.611916145,0.615652437,0.613226104,0.602029649,0.594793125,0.59619891,0.608992859
Sub00278,0.625416854,0.617708503,0.631641092,0.640871996,0.645616346,0.630870935,0.609122345,0.593250008,0.595842749,0.605869994
Sub00279,0.633678628,0.617333452,0.632163463,0.64307251,0.647468083,0.632463576,0.617002443,0.610360885,0.618637317,0.628894125
Sub00280,0.634391175,0.643406669,0.65128071,0.651851579,0.668077979,0.660576099,0.647292339,0.642781518,0.648518555,0.653636957
Sub00281,0.598238884,0.588340114,0.599030117,0.605784621,0.621164491,0.610780771,0.585780379,0.576132808,0.584366985,0.590942562
Sub00282,0.596215284,0.607428556,0.623004477,0.632503988,0.62904268,0.619572299,0.608215443,0.604169858,0.627152618,0.649598106
Sub00283,0.650943562,0.640452314,0.644425966,0.65260633,0.65863579,0.645516593,0.625948678,0.611344149,0.615590667,0.620238526
Sub00284,0.658614234,0.647227529,0.645762572,0.649344048,0.645510346,0.636801166,0.629713087,0.617443527,0.616614479,0.626107179
Sub00285,0.627940629,0.608615758,0.621996488,0.628490047,0.630962597,0.617627226,0.601933468,0.599056136,0.619609845,0.654571091
Sub00286,0.646936439,0.618964972,0.626320241,0.636354379,0.645723917,0.635355947,0.622101217,0.621420749,0.630013578,0.642146403
Sub00287,0.636327592,0.615457944,0.615567886,0.620328424,0.625551263,0.615911911,0.598899946,0.589410382,0.593293132,0.601635338
Sub00288,0.641812375,0.622713186,0.639924824,0.646625207,0.654274025,0.640539685,0.618096683,0.610442317,0.633201971,0.641118332
Sub00289,0.641628782,0.62757646,0.625483207,0.629095035,0.629154058,0.623147603,0.617262274,0.611719478,0.622583571,0.637016468
Sub00290,0.662602063,0.643327229,0.642654237,0.637978657,0.64353591,0.631461238,0.608401674,0.5937487,0.603656399,0.619648005
Sub00291,0.713533162,0.691795216,0.695648187,0.693097991,0.68818415,0.671427316,0.653342242,0.645906456,0.656139344,0.67570008
Sub00292,0.672304254,0.657753259,0.663598325,0.66385989,0.661908922,0.65326432,0.637802608,0.636410081,0.650649617,0.66572967
Sub00293,0.596968813,0.608500263,0.623125662,0.627128149,0.637531081,0.631362544,0.61966504,0.61667194,0.634609657,0.661853069
Sub00294,0.623115804,0.599084752,0.595500978,0.602516384,0.621058491,0.621333291,0.608889297,0.59500298,0.603474097,0.621886826
Sub00295,0.712831913,0.700426797,0.710388817,0.703371685,0.704555521,0.690396311,0.681136647,0.673051601,0.671904026,0.687638555
Sub00296,0.63122444,0.620785735,0.626550625,0.629791764,0.639194745,0.635841512,0.629806459,0.622556552,0.642914802,0.65889506
Sub00297,0.753169596,0.72547392,0.719808659,0.713833872,0.709016718,0.685389147,0.669990557,0.659282184,0.671512261,0.675730608
Sub00298,0.645215685,0.631596035,0.636086608,0.638022036,0.641807254,0.631625426,0.61112966,0.603926188,0.614035041,0.630007327
Sub00299,0.646217683,0.636085727,0.64034629,0.644374377,0.651797564,0.634690331,0.614768682,0.596810265,0.571514443,0.542646937
Sub00300,0.607328131,0.593135433,0.595689443,0.59929232,0.60666292,0.600311187,0.582418695,0.58212217,0.604972415,0.630345686
Sub00301,0.682723359,0.671162338,0.675948063,0.670683217,0.675848042,0.67171776,0.656072352,0.643717675,0.65308212,0.659050771
Sub00302,0.636851155,0.634984306,0.642082518,0.645717073,0.649788947,0.638276617,0.628621056,0.62845671,0.637053609,0.651760423
Sub00303,0.637693051,0.630894983,0.631291139,0.630983163,0.632062314,0.617739369,0.595029777,0.578864371,0.584117613,0.581949256
Sub00304,0.604570438,0.578873817,0.57772013,0.578045134,0.582779556,0.571666207,0.563967553,0.568737354,0.58729335,0.598789395
Sub00305,0.643126319,0.624981046,0.629691634,0.638956433,0.640189962,0.624835843,0.606997797,0.599458342,0.615456839,0.628894622
Sub00306,0.714923994,0.700102416,0.697476874,0.699456144,0.697834144,0.689663125,0.674162539,0.660408611,0.658263689,0.668380441
Sub00307,0.686780638,0.685787714,0.67828512,0.680457079,0.688961362,0.678047702,0.659211412,0.644382219,0.63324127,0.627866335
Sub00308,0.672528596,0.658957254,0.65477877,0.651675007,0.648405158,0.634302227,0.613940215,0.608795427,0.626466445,0.648764681
Sub00309,0.690177931,0.682288604,0.696084705,0.693518425,0.696533486,0.685151313,0.669416574,0.665915522,0.682330372,0.698726496
Sub00310,0.691434859,0.679680514,0.68828336,0.698302509,0.698577175,0.682089791,0.665109471,0.656851227,0.664947405,0.673175302
Sub00311,0.581362117,0.573542968,0.583754284,0.585961572,0.584015636,0.579079614,0.574139591,0.57172597,0.581197368,0.601527301
Sub00312,0.618086231,0.604570928,0.623004726,0.626095253,0.623405559,0.610532062,0.600638088,0.597813409,0.611385128,0.625187275
Sub00313,0.608147348,0.602201594,0.612365676,0.616342128,0.617578983,0.608392264,0.59885633,0.59723023,0.606974662,0.627415667
Sub00314,0.702806516,0.700302119,0.702470319,0.699498324,0.699425433,0.680702221,0.669179319,0.663810767,0.671233416,0.669121245
Sub00315,0.629372744,0.609514359,0.612180936,0.617130583,0.622501561,0.616438282,0.599432802,0.588741019,0.595999268,0.609290065
Sub00316,0.620481538,0.625335172,0.616327403,0.600328072,0.611839141,0.600100675,0.577491939,0.568713233,0.567156081,0.556418047
Sub00317,0.653558127,0.652729824,0.656973474,0.655381789,0.651955818,0.647967251,0.63465685,0.62346795,0.625512906,0.636477353
Sub00318,0.614702214,0.61269841,0.626049888,0.633992198,0.64151831,0.636205218,0.620509148,0.611448138,0.617746202,0.63172451
Sub00319,0.610544984,0.652124842,0.647412123,0.641206671,0.64142607,0.626245659,0.606729316,0.589539971,0.5795891,0.575370232
